sido_code,sido_name,gugun_code,gugun_name,station_count,capacity_mw,generation_mwh,station_count_ratio_pct,capacity_ratio_pct,generation_ratio_pct,collected_at
48,경상남도,48170,진주시,"1,224",158,"97,299",7.6,7,5,2026-02-14T23:08:21.279293
48,경상남도,48220,통영시,146,27,"28,262",0.9,1.2,1.5,2026-02-14T23:08:21.279293
48,경상남도,48240,사천시,934,135,"122,613",5.8,5.9,6.3,2026-02-14T23:08:21.279293
48,경상남도,48250,김해시,"1,635",221,"120,613",10.1,9.7,6.2,2026-02-14T23:08:21.279293
48,경상남도,48270,밀양시,"1,240",127,"92,429",7.7,5.6,4.8,2026-02-14T23:08:21.279293
48,경상남도,48310,거제시,248,14,"9,785",1.5,0.6,0.5,2026-02-14T23:08:21.279293
48,경상남도,48330,양산시,413,61,"36,677",2.6,2.7,1.9,2026-02-14T23:08:21.279293
48,경상남도,48720,의령군,492,117,"112,082",3.1,5.1,5.8,2026-02-14T23:08:21.279293
48,경상남도,48730,함안군,952,143,"87,432",5.9,6.3,4.5,2026-02-14T23:08:21.279293
48,경상남도,48740,창녕군,860,150,"107,683",5.3,6.6,5.6,2026-02-14T23:08:21.279293
48,경상남도,48820,고성군,623,99,"86,190",3.9,4.4,4.4,2026-02-14T23:08:21.279293
48,경상남도,48840,남해군,"1,091",88,"78,948",6.8,3.9,4.1,2026-02-14T23:08:21.279293
48,경상남도,48850,하동군,"1,270",163,"186,257",7.9,7.2,9.6,2026-02-14T23:08:21.279293
48,경상남도,48860,산청군,672,93,"107,572",4.2,4.1,5.5,2026-02-14T23:08:21.279293
48,경상남도,48870,함양군,770,84,"87,665",4.8,3.7,4.5,2026-02-14T23:08:21.279293
48,경상남도,48880,거창군,"1,214",161,"166,959",7.5,7.1,8.6,2026-02-14T23:08:21.279293
48,경상남도,48890,합천군,"1,387",228,"270,113",8.6,10,13.9,2026-02-14T23:08:21.279293
50,제주특별자치도,50110,제주시,"1,075",282,"285,533",54.2,41.7,44,2026-02-14T23:08:21.279293
50,제주특별자치도,50130,서귀포시,907,394,"363,191",45.8,58.3,56,2026-02-14T23:08:21.279293
51,강원특별자치도,51110,춘천시,810,98,"80,016",6.9,4.8,4,2026-02-14T23:08:21.279293
51,강원특별자치도,51130,원주시,"1,561",192,"164,783",13.3,9.4,8.2,2026-02-14T23:08:21.279293
51,강원특별자치도,51150,강릉시,707,112,"129,139",6,5.5,6.4,2026-02-14T23:08:21.279293
51,강원특별자치도,51170,동해시,117,26,"27,831",1,1.3,1.4,2026-02-14T23:08:21.279293
51,강원특별자치도,51190,태백시,137,70,"85,713",1.2,3.4,4.2,2026-02-14T23:08:21.279293
51,강원특별자치도,51210,속초시,79,6,"6,454",0.7,0.3,0.3,2026-02-14T23:08:21.279293
51,강원특별자치도,51230,삼척시,483,155,"131,968",4.1,7.6,6.5,2026-02-14T23:08:21.279293
51,강원특별자치도,51720,홍천군,"1,613",190,"173,650",13.7,9.3,8.6,2026-02-14T23:08:21.279293
51,강원특별자치도,51730,횡성군,811,104,"77,885",6.9,5.1,3.9,2026-02-14T23:08:21.279293
51,강원특별자치도,51750,영월군,510,128,"140,919",4.3,6.3,7,2026-02-14T23:08:21.279293
51,강원특별자치도,51760,평창군,705,193,"164,743",6,9.5,8.2,2026-02-14T23:08:21.279293
51,강원특별자치도,51770,정선군,305,88,"101,391",2.6,4.3,5,2026-02-14T23:08:21.279293
51,강원특별자치도,51780,철원군,903,213,"207,399",7.7,10.5,10.3,2026-02-14T23:08:21.279293
51,강원특별자치도,51790,화천군,553,103,"112,565",4.7,5,5.6,2026-02-14T23:08:21.279293
51,강원특별자치도,51800,양구군,799,98,"105,099",6.8,4.8,5.2,2026-02-14T23:08:21.279293
51,강원특별자치도,51810,인제군,885,115,"134,317",7.5,5.6,6.6,2026-02-14T23:08:21.279293
51,강원특별자치도,51820,고성군,690,125,"151,711",5.9,6.1,7.5,2026-02-14T23:08:21.279293
51,강원특별자치도,51830,양양군,101,21,"24,755",0.9,1,1.2,2026-02-14T23:08:21.279293
52,전북특별자치도,52110,전주시,668,44,"54,391",1.8,0.9,1,2026-02-14T23:08:21.279293
52,전북특별자치도,52111,전주시 완산구,167,10,"3,786",0.4,0.2,0.1,2026-02-14T23:08:21.279293
52,전북특별자치도,52113,전주시 덕진구,387,33,"18,697",1,0.7,0.4,2026-02-14T23:08:21.279293
52,전북특별자치도,52130,군산시,"2,309",667,"850,226",6.1,14,16.1,2026-02-14T23:08:21.279293
52,전북특별자치도,52140,익산시,"5,970",670,"756,524",15.9,14.1,14.3,2026-02-14T23:08:21.279293
52,전북특별자치도,52180,정읍시,"4,727",507,"589,567",12.6,10.6,11.2,2026-02-14T23:08:21.279293
52,전북특별자치도,52190,남원시,"3,944",539,"587,199",10.5,11.3,11.1,2026-02-14T23:08:21.279293
52,전북특별자치도,52210,김제시,"5,165",581,"670,127",13.8,12.2,12.7,2026-02-14T23:08:21.279293
52,전북특별자치도,52710,완주군,"2,595",309,"288,927",6.9,6.5,5.5,2026-02-14T23:08:21.279293
52,전북특별자치도,52720,진안군,"1,599",167,"184,046",4.3,3.5,3.5,2026-02-14T23:08:21.279293
52,전북특별자치도,52730,무주군,781,71,"63,495",2.1,1.5,1.2,2026-02-14T23:08:21.279293
52,전북특별자치도,52740,장수군,"1,499",209,"264,172",4,4.4,5,2026-02-14T23:08:21.279293
52,전북특별자치도,52750,임실군,"2,012",222,"257,804",5.4,4.7,4.9,2026-02-14T23:08:21.279293
52,전북특별자치도,52770,순창군,"1,053",122,"95,043",2.8,2.6,1.8,2026-02-14T23:08:21.279293
52,전북특별자치도,52790,고창군,"2,005",256,"309,399",5.3,5.4,5.9,2026-02-14T23:08:21.279293
52,전북특별자치도,52800,부안군,"2,681",360,"285,789",7.1,7.5,5.4,2026-02-14T23:08:21.279293
